iteration,국내주식,글로벌 선진국 DM,글로벌 신흥국 EM,국내 국채(초장기),글로벌 IG 크레딧,사모주식 PE/VC,실물 인프라,사모대출 PD
21,0.2500000000000001,0.31999999999999995,1.1131448785522187e-17,0.14999999999999986,0.09999999999999991,0.0,0.08000000000000018,0.1
22,0.25000000000000017,0.19999999999999996,0.09999999999999995,0.24999999999999986,0.050000000000000044,0.04999999999999995,8.586404738357077e-18,0.1
23,0.25000000000000006,0.20000000000000015,0.1,0.15000000000000005,0.11999999999999984,0.0,0.07999999999999977,0.1
24,0.25000000000000006,0.20000000000000015,0.1,0.15000000000000005,0.11999999999999984,0.0,0.07999999999999977,0.1
25,0.25000000000000006,0.20000000000000015,0.1,0.15000000000000005,0.11999999999999984,0.0,0.07999999999999977,0.1
26,0.15000000000000008,0.26999999999999996,0.09999999999999999,0.22999999999999995,0.12000000000000002,0.0,0.1,0.030000000000000096
27,0.2500000000000001,0.2000000000000003,0.09999999999999998,0.14999999999999908,0.12000000000000012,0.08377434637770535,0.09622565362229481,2.439975425451918e-16
28,0.19816268469030623,0.22183731530969383,0.1,0.24999999999999975,0.05000000000000012,0.08000000000000011,7.066802006945749e-17,0.09999999999999978
29,0.2300000000000001,0.3,9.515587050531004e-18,0.23000000000000007,0.11999999999999983,4.4210056570067145e-17,0.02000000000000024,0.09999999999999974
30,0.1767894431319338,0.24321055686806606,0.1,0.22999999999999993,0.12000000000000005,1.9049659628832534e-17,0.02999999999999994,0.1
31,0.23352490207333296,0.2999999999999999,0.0,0.25,0.0499999999999998,0.0,0.06647509792666735,0.1
32,0.15000000000000016,0.26999999999999963,0.1,0.1800000000000001,0.12000000000000004,0.0,0.09999999999999996,0.07999999999999996
33,0.15,0.3240400337638865,0.045959966236113516,0.18000000000000002,0.11999999999999998,0.07397288620025584,0.1,0.00602711379974412
34,0.24999999999999997,0.3200000000000001,0.0,0.15000000000000002,0.09999999999999996,0.08,0.0,0.1
35,0.25000000000000006,0.20000000000000004,0.09999999999999994,0.21631402666585348,0.0536859733341465,2.457397520359476e-17,0.07999999999999996,0.09999999999999996
36,0.24999999999999997,0.2,0.09999999999999998,0.15000000000000002,0.11999999999999998,0.07999999999999992,9.863258798921035e-17,0.1
37,0.14999999999999986,0.31999999999999984,0.1,0.14999999999999997,0.10000000000000031,0.0,0.08000000000000007,0.1
38,0.21999999999999997,0.19999999999999998,0.09999999999999998,0.18,0.11999999999999993,9.509013367217037e-18,0.08000000000000002,0.09999999999999999
39,0.15000000000000005,0.2700000000000001,0.09999999999999998,0.22999999999999995,0.12,0.0,0.06263833354377457,0.06736166645622542
40,0.15,0.31999999999999995,0.1,0.15,0.10000000000000013,0.07999999999999999,0.0,0.09999999999999999
41,0.22000000000000003,0.19999999999999993,0.1,0.25,0.09999999999999991,4.3563592532955693e-17,0.1,0.029999999999999895
42,0.15000000000000002,0.2700000000000001,0.1,0.24999999999999997,0.09999999999999998,0.0,0.08989002472230491,0.04010997527769515
43,0.25000000000000017,0.19999999999999984,0.09999999999999999,0.14999999999999994,0.1200000000000002,0.07999999999999982,0.0,0.1
44,0.24999999999999994,0.2,0.1,0.15,0.12000000000000001,4.163336342344337e-17,0.07999999999999999,0.09999999999999998
45,0.1510202612192428,0.26897973878075726,0.09999999999999999,0.23000000000000007,0.12,0.1,0.029999999999999763,0.0
46,0.15000000000000008,0.26999999999999996,0.09999999999999996,0.22999999999999973,0.11999999999999998,5.052562189053346e-18,0.030000000000000186,0.1
