국내주식,글로벌 선진국 DM,글로벌 신흥국 EM,국내 국채(초장기),글로벌 IG 크레딧,사모주식 PE/VC,실물 인프라,사모대출 PD
0.09242892716372932,0.03343126152484694,0.031002824585170466,0.01649406106863948,0.0031983259820937485,0.049180307556143166,0.024624064002221016,-0.04693748650860202
-0.03643332356592335,0.036926363980448504,0.08517503645040764,0.01235152383991251,0.07921534529741661,0.03751771650413452,0.09634797121319963,0.10316604256496101
0.2165541543164181,0.07434880402749255,0.1343306586382289,0.0544322342872492,0.0531528715813559,0.05376337267012243,0.03403583065418727,-0.008032557962555406
0.020312509025466906,0.03856312004600684,0.09695122882595861,0.014458336409212253,0.01206202232933034,0.006696195716339233,0.06679843937089988,0.03434335451798861
0.05122828148716248,0.004498457820172129,0.03189526222822234,0.014098671146947718,0.01587364151835082,0.003895182366492028,-0.020230502388395855,0.024627325352189
0.07625827045126472,0.04020709861452044,0.0911576639419432,0.05593688546156719,0.03303395314783933,0.06218352360857593,0.07408620055022819,0.12385589585388813
0.18026085872011866,0.08739308047909891,0.13094538492813962,0.04614176139786331,0.040684620963801196,0.09684835838619305,0.06321933867366308,0.036725925628079664
0.06366246127023026,0.1270659855291084,0.11117433766203949,0.023416634306293142,0.019476329205594063,0.2232014234714243,0.08069895990421655,0.16188546179062674
0.10509376228702952,0.07037838273963498,0.07316861148823786,0.041117855222244135,0.03730807896292535,0.04004653271949194,0.1170128614294344,0.1247327709080851
0.1019417048901463,0.09228510803012221,0.1285152879191569,0.05326975187361503,0.09961908747267936,0.11934452291277386,0.10071809860906271,0.15183086548504654
0.10441984877298688,0.05825918611378654,0.12167207111940484,0.0324319717573283,0.03805449681160638,0.09039873178096325,0.0838396755978193,0.07763714624056747
-0.04233789246954907,0.06128535314727245,0.07727153384382034,0.0608160314854753,0.1031508613578436,0.033287419696853095,0.05908261649449979,0.037569009981286386
0.008295129528041345,0.06429061899256774,0.06706071671302828,0.04133264746926325,0.055909375260469976,0.05211768528176474,0.07045881990887368,0.061533799232720295
0.10353764859283496,0.08248396894513839,0.10211307659522884,0.026005884426689906,0.04938268868400252,0.06929527030432461,0.10986310353490611,0.14963444281754534
0.17413433563869468,0.06317576341646025,0.10358331559238386,0.051810348628725175,0.04052524192011435,0.07823000038680289,0.09792858388691231,0.031257382724382506
0.08433843185070697,0.09951436277202041,0.11191038791021499,0.038849060870838927,0.07202826622669284,0.07005532842461876,0.12851125108040584,0.10199121060119845
0.06892912811047465,0.031445160735521754,0.09300134222350748,-0.0012262410665956763,0.028596610727613558,-0.014415716470399909,0.040333601781918284,0.008482366809431957
0.09341770540180493,0.08516705773637782,0.09203343653201349,0.025608991342805552,0.06268526133698114,0.06987381822638214,0.09287766673022338,0.1388916375804078
0.0021722702848260694,0.03019746947032991,0.11798642183069677,0.0021912974022591375,0.07262783143124185,-0.0016342902228746181,0.10065570551448552,0.23368516081160368
